연번,호선,고유역번호(외부역코드),역명,수송연월,수송인원수
79,3,328,잠원,2023-01,192861
80,3,329,고속터미널(3),2023-01,2091739
81,3,330,교대(3),2023-01,508175
82,3,331,남부터미널,2023-01,1418126
83,3,332,양재,2023-01,1640389
84,3,333,매봉,2023-01,528551
85,3,334,도곡,2023-01,205222
86,3,335,대치,2023-01,512432
87,3,336,학여울,2023-01,88717
88,3,337,대청,2023-01,400406
89,3,338,일원,2023-01,430983
90,3,339,수서,2023-01,771402
91,3,340,가락시장(3),2023-01,357708
92,3,341,경찰병원,2023-01,323314
93,3,342,오금(3),2023-01,229572
94,4,409,당고개,2023-01,353247
95,4,410,상계,2023-01,748016
96,4,411,노원(4),2023-01,741878
97,4,412,창동,2023-01,1093737
98,4,413,쌍문,2023-01,1170375
99,4,414,수유,2023-01,1424102
100,4,415,미아,2023-01,590373
101,4,416,미아사거리,2023-01,1096403
102,4,417,길음,2023-01,839665
103,4,418,성신여대입구,2023-01,812824
104,4,419,한성대입구,2023-01,544645
105,4,420,혜화,2023-01,1573934
106,4,421,동대문(4),2023-01,756717
107,4,422,동대문역사문화공원(4),2023-01,598158
108,4,423,충무로(4),2023-01,1013556
109,4,424,명동,2023-01,1155575
110,4,425,회현,2023-01,1057559
111,4,426,서울역(4),2023-01,632850
112,4,427,숙대입구,2023-01,550849
113,4,428,삼각지(4),2023-01,253317
114,4,429,신용산,2023-01,809451
115,4,430,이촌,2023-01,459552
116,4,431,동작,2023-01,68953
117,4,432,이수(총신대입구),2023-01,920581
118,4,433,사당(4),2023-01,1058163
119,4,434,남태령,2023-01,58594
120,5,2511,방화,2023-01,263148
121,5,2512,개화산,2023-01,220402
122,5,2513,김포공항(5),2023-01,308163
123,5,2514,송정,2023-01,232687
124,5,2515,마곡,2023-01,397932
125,5,2516,발산,2023-01,809297
126,5,2517,우장산,2023-01,548948
127,5,2518,화곡,2023-01,1095563
128,5,2519,까치산(5),2023-01,1190270
129,5,2520,신정,2023-01,501150
130,5,2521,목동,2023-01,671038
131,5,2522,오목교,2023-01,893930
132,5,2523,양평(5),2023-01,284292
133,5,2524,영등포구청(5),2023-01,137836
134,5,2525,영등포시장,2023-01,415136
135,5,2526,신길(5),2023-01,164750
136,5,2527,여의도(5),2023-01,1132938
137,5,2528,여의나루,2023-01,451092
138,5,2529,마포,2023-01,606196
139,5,2530,공덕(5),2023-01,547078
140,5,2531,애오개,2023-01,272249
141,5,2532,충정로(5),2023-01,166109
142,5,2533,서대문,2023-01,747962
143,5,2534,광화문,2023-01,1250645
144,5,2535,종로3가(5),2023-01,547589
145,5,2536,을지로4가(5),2023-01,201965
146,5,2537,동대문역사문화공원(5),2023-01,120046
147,5,2538,청구(5),2023-01,142325
148,5,2539,신금호,2023-01,263957
149,5,2540,행당,2023-01,324926
150,5,2541,왕십리(5),2023-01,151595
151,5,2542,마장,2023-01,235870
152,5,2543,답십리,2023-01,674802
153,5,2544,장한평,2023-01,810373
154,5,2545,군자(5),2023-01,453335
155,5,2546,아차산,2023-01,602919
156,5,2547,광나루,2023-01,522676
157,5,2548,천호(5),2023-01,720900
158,5,2549,강동,2023-01,772793
159,5,2550,길동,2023-01,330360
160,5,2551,굽은다리,2023-01,385103
161,5,2552,명일,2023-01,343800
162,5,2553,고덕,2023-01,367250
163,5,2554,상일동,2023-01,572412
