연번,호선,역번호,역명,2021년1월,2021년2월,2021년3월,2021년4월,2021년5월,2021년6월,2021년7월,2021년8월,2021년9월,2021년10월,2021년11월,2021년12월
279,8,2826,수진,190055,177514,213951,212170,208778,212972,200187,193137,189772,206552,219903,220901
280,8,2827,모란(8),122856,118706,148864,148068,145568,145691,130790,125876,129723,150506,148614,146534
281,8,2828,남위례,,,,,,,,,,,,68691
282,9,4126,언주,402647,388097,472606,466164,445960,484514,451260,425569,409472,460222,515005,518062
283,9,4127,선정릉,370170,369994,467192,463048,437439,470871,419699,396684,391169,436822,482248,469384
284,9,4128,삼성중앙,264087,259815,321265,310764,291920,315587,279845,265498,257103,284632,323136,318483
285,9,4129,봉은사,585187,597118,763332,728312,738464,779406,663977,652001,618455,719272,834109,849391
286,9,4130,종합운동장(9),166517,166020,204979,202243,197751,206605,187162,175449,169469,188544,211459,201501
287,9,4131,삼전,264468,255542,306353,300683,296436,308100,288311,278279,272907,300756,320006,322902
288,9,4132,석촌고분,238049,227536,278407,271350,266198,279293,261719,251183,245451,267412,288146,292042
289,9,4133,석촌(9),283808,291122,366024,362178,355667,366680,330321,322997,326121,368727,389482,381646
290,9,4134,송파나루,184506,187503,227406,220085,223184,229096,214269,209158,202621,228276,242178,251586
291,9,4135,한성백제,87358,85927,104702,105108,103477,109204,100140,96962,97573,116410,118449,109803
292,9,4136,올림픽공원(9),201840,205475,259049,269585,276215,305085,262236,238870,259213,336149,337448,352617
293,9,4137,둔촌오륜,35654,36068,51730,49518,47259,50411,43414,40619,43895,48511,48898,49217
294,9,4138,중앙보훈병원,332163,327524,424632,421883,402387,441836,408631,400131,391873,430205,451988,444415
