연번,호선,역번호,역명,2021년1월,2021년2월,2021년3월,2021년4월,2021년5월,2021년6월,2021년7월,2021년8월,2021년9월,2021년10월,2021년11월,2021년12월
53,2,243,충정로(2),303492,296082,376417,371467,350752,375072,332330,308546,308402,340192,378224,370051
54,2,244,용답,80325,77775,104314,102490,102573,102425,91353,87168,89719,99375,106400,102732
55,2,245,신답,43879,42912,54141,52499,51279,53286,48229,45836,46317,50803,54660,54019
56,2,246,신설동(2),126693,124988,147180,147116,146424,143098,129388,125555,126906,131408,148799,147307
57,2,247,도림천,51553,49559,61571,61191,57953,61411,55137,50937,50245,54303,58143,58941
58,2,248,양천구청,232964,234101,291445,289568,282702,292156,258259,244955,252244,278419,296084,287033
59,2,249,신정네거리,343757,347851,440455,440783,430197,436253,397702,380939,383650,422946,447970,431965
60,2,250,용두,72688,71647,85520,84432,81795,84528,81125,76779,77406,79914,85104,88030
61,3,309,지축,121649,129291,167991,169641,165667,174441,164011,164815,168352,185099,195416,190268
62,3,310,구파발,697484,706982,874967,867786,854261,876399,799873,768648,772986,863744,903550,871326
63,3,311,연신내(3),1234819,1239238,1509944,1490837,1473835,1492009,1360847,1312414,1330377,1447545,1493893,1467034
64,3,312,불광(3),554401,554511,687380,678693,673725,681882,616586,589582,614454,675372,697375,668372
65,3,313,녹번,477734,465705,582918,571967,564113,591563,540258,516543,521976,572605,615270,606952
66,3,314,홍제,581836,576417,734758,726979,705503,707873,640476,613169,631277,697680,727193,702743
67,3,315,무악재,137065,135299,168082,164246,158642,163022,148650,143152,145400,159475,168286,163621
68,3,316,독립문,230202,237795,301144,307202,302836,299092,257562,252863,269460,302013,308903,281395
69,3,317,경복궁,578754,637328,778844,799940,810810,812281,701997,683520,743976,864537,987541,828568
70,3,318,안국,589015,646263,857716,829225,821930,842509,702163,685174,735718,877427,988094,862039
71,3,319,종로3가(3),329027,343732,438227,431189,424930,440049,385044,370127,376295,428022,449693,444439
72,3,320,을지로3가(3),307196,299326,375038,369237,352830,383604,341019,317523,307400,343959,393372,391209
73,3,322,동대입구,264969,269248,364058,376627,352127,343675,301820,298584,318344,363595,408023,374226
74,3,323,약수(3),417739,416629,516346,509724,497790,516360,465868,443975,451730,493394,521820,518270
75,3,324,금호,277999,276326,340501,334452,325660,331998,298708,285979,287770,312997,329143,324028
76,3,325,옥수,322319,328756,405426,401869,393360,402454,356002,344820,352918,385681,401722,386232
77,3,326,압구정,1215686,1221011,1446509,1410913,1375707,1441115,1322527,1240842,1225347,1335677,1454856,1501070
78,3,327,신사,1218455,1239889,1444312,1395346,1357825,1404041,1251855,1196670,1180281,1349535,1452346,1469041
79,3,328,잠원,159945,162982,205711,203488,195845,204266,178996,171625,177036,194803,209659,201974
80,3,329,고속터미널(3),1376925,1534918,1743558,1720115,1820644,1772035,1513941,1490263,1613021,1786372,1843709,1823885
81,3,330,교대(3),400747,390122,499385,489881,459783,495375,440711,415377,412934,458127,510257,490851
82,3,331,남부터미널,1105782,1123469,1343996,1300809,1316153,1345922,1191193,1167112,1151101,1269637,1375263,1335002
83,3,332,양재,1398468,1351398,1718314,1707635,1613897,1716538,1533209,1440008,1418501,1587582,1776303,1735177
84,3,333,매봉,448105,427617,531720,533266,500350,538959,496363,463299,455382,491984,546412,538079
85,3,334,도곡,187797,182779,232942,231239,219284,224870,201893,187303,186401,207754,231156,219357
